participant_id,order,react,comment,post_tenure,tenure_units,human (y/n),race,gender,notes,
6416,7,1,0,,,0,,,May 10,
6416,8,1,0,,,1,Hispanic,Female,May 7,
6416,9,1,0,,,0,,,May 6,
6416,10,1,0,,,0,,,May 5,
2700,1,1,0,1,Days,1,White,Female,KS,
2700,2,1,0,,,1,,,JC,Tenure unknown because it seems the original post was deleted
2700,3,1,0,1,Days,1,White,Female,AK,
2700,4,1,0,1,Days,1,White,Male,PB,
2700,5,1,0,1,Days,1,White,Female,CHW,
2700,6,1,0,2,Days,1,White,Female,RB,
2700,7,1,0,2,Days,1,White,Female,MT,
2700,8,1,0,2,Days,1,White,Female,KS,
2700,9,1,0,2,Days,1,White,Male,DM,
2700,10,1,0,2,Days,1,White,Female,ER,
4051,1,0,1,22,Hours,1,White,Female,EJ,
4051,2,1,0,1,Days,1,White,Female,CD,
4051,3,1,0,1,Days,1,White,Female,NP,
4051,4,1,1,1,Days,1,White,Female,JA,
4051,5,1,0,1,Days,1,White,Male,MCS,
4051,6,1,0,3,Days,1,White,Female,in TM,
4051,7,1,0,2,Days,1,White,Male,MCS,
4051,8,1,0,2,Days,1,White,Male,NW,
4051,9,1,0,2,Days,1,White,Female,SM,
4051,10,1,1,2,Days,1,White,Female,CLR,
5527,1,1,0,,,1,White,Female,Oct,7
5527,2,1,0,,,1,White,Male,Sept ,22
5527,3,1,0,,,1,White,Male,Sept ,19
5527,4,0,1,,,1,White,Male,Sept ,18
5527,5,0,1,,,1,White,Male,Sept ,18
5527,6,1,0,,,0,,,Sept ,15
5527,7,1,0,,,1,White,Male,August ,27
5527,8,1,0,,,1,White,Female,August ,22
5527,9,1,0,,,0,,,August ,17
5527,10,1,0,,,0,,,August ,17
7162,1,1,0,2,Hours,1,Hispanic,Male,,
7162,2,0,1,4,Hours,1,White,Female,,
7162,3,1,0,1,Days,1,White,Male,,
7162,4,1,0,2,Days,1,White,Female,,
7162,5,1,0,2,Days,1,White,Male,,
7162,6,0,1,4,Days,1,White,Female,,
7162,7,1,0,4,Days,1,White,Female,,
7162,8,1,0,5,Days,1,White,Male,,
7162,9,1,0,5,Days,1,White,Female,,
7162,10,1,0,5,Days,1,White,Female,,
7291,1,0,0,,,0,,,Participant saved a link from a news site,
7291,2,1,0,3,Days,1,Asian,Male,,
7291,3,0,0,,,0,,,Participant saved a link from a page,
7291,4,0,0,,,0,,,Participant saved a link from a page,
7291,5,1,0,4,Days,0,,,RVCJ Media,
7291,6,1,0,5,Days,0,,,RVCJ Media,
7291,7,0,0,,,0,,,Participant saved a link from a page,
7291,8,1,0,4,Days,0,,,,
7291,9,0,0,7,Days,0,,,Participant saved a photo from a page,RVCJ Media
7291,10,0,0,,,0,,,Participant saved a link from a page,
3795,1,1,0,1,Days,1,Black or African American,Male,,
3795,2,1,0,1,Days,1,White,Female,,
3795,3,1,0,1,Days,1,Black or African American,Male,,
3795,4,1,0,1,Days,1,Black or African American,Male,,
3795,5,0,1,2,Days,1,Black or African American,Male,,
3795,6,1,0,3,Days,1,Black or African American,Female,,
3795,7,1,0,3,Days,1,Black or African American,Male,,
3795,8,0,1,3,Days,1,Black or African American,Male,,
3795,9,1,0,3,Days,1,Black or African American,Male,,
3795,10,1,0,3,Days,1,Black or African American,Female,,
8205,1,1,0,3,Days,0,,,LEBC,
8205,2,1,0,3,Days,0,,,BBC,
8205,3,0,0,4,Days,0,,,LMS,shared page's post
8205,4,1,0,6,Days,0,,,WB,
8205,5,1,0,6,Days,0,,,MBT,
8205,6,1,0,6,Days,0,,,LEBC,
8205,7,1,0,,,0,,,LEBC,Oct 28
8205,8,1,1,,,0,,,,Oct 27
8205,9,0,1,,,0,,,LMS,Oct 21
8205,10,1,0,,,0,,,C9,Oct 14
6787,1,1,0,3,Hours,1,Hawaiian Native or Pacific Islander,Male,RRc,
6787,2,1,0,4,Hours,1,Hispanic,Female,NXG,
6787,3,1,0,8,Hours,1,Hispanic,Male,AB,
6787,4,1,0,4,Days,1,Hispanic,Female,LC,
6787,5,1,0,18,Hours,1,Hispanic,Male,DDR,
6787,6,1,0,1,Days,1,Black or African American,Male,JDA,
6787,7,1,0,18,Hours,1,Hispanic,Female,CG,
6787,8,1,0,18,Hours,1,Hispanic,Male,JF,
6787,9,1,0,2,Days,1,White,Female,GM,
6787,10,1,0,17,Hours,1,Hispanic,Male,GA,
3550,1,1,0,8,Days,0,,,,
3550,2,1,0,8,Days,1,Hispanic,Female,,
3550,3,1,0,8,Days,0,,,,
3550,4,1,0,8,Days,1,Asian,Female,,
3550,5,1,0,8,Days,1,Black or African American,Female,,
3550,6,1,0,8,Days,0,,,,
3550,7,1,0,8,Days,1,White,Female,,
3550,8,1,0,9,Days,1,White,Female,,
3550,9,1,0,12,Days,1,Black or African American,Male,,
3550,10,1,0,12,Days,1,White,Female,,
1755,1,1,0,,,1,White,Female,Oct 31,
1755,2,0,1,,,1,White,Male,Oct 31,
1755,3,1,0,,,1,White,Female,Oct 30,
1755,4,1,0,,,1,White,Female,Oct 30,
1755,5,0,1,,,1,White,Female,Oct 25,
1755,6,1,0,,,1,White,Female,Oct 22,
1755,7,1,0,,,0,,,Oct 21,
1755,8,1,0,,,0,,,Oct 21,
1755,9,1,0,,,1,White,Female,Oct 20,
1755,10,1,0,,,1,White,Female,Oct 20,
8735,1,0,1,43,Minutes,1,White,Male,,
8735,2,1,0,46,Minutes,1,White,Male,,
8735,3,1,0,1,Hours,1,White,Male,,
8735,4,1,0,1,Hours,1,White,Male,,
8735,5,0,1,1,Hours,1,White,Female,,
8735,6,1,0,3,Hours,1,White,Female,,
8735,7,0,1,3,Hours,1,White,Male,,
8735,8,1,0,4,Hours,1,White,Male,,
8735,9,1,0,4,Hours,1,White,Male,,
8735,10,1,0,5,Hours,1,White,Male,,
