participant_id,order,preference (1-7),familiarity (1-7),relationship,post_tenure,tenure_units,human (y/n),nf_group (y/n),unrest (y/n),common_friends,race_RA_1,race_RA_2,gender,Notes,,,
7366,24,2,1,Don't know personally,2,Hours,1,1,0,0,White,,Female,,,,
7366,25,4,4,Acquaintance,4,Hours,1,0,0,5,White,,Female,,,,
7366,26,4,,,20,Hours,0,0,0,0,,,,,,,
7366,27,3,,,5,Days,0,0,0,0,,,,,,,
7366,28,3,1,Don't know personally,2,Days,1,1,0,0,White,,Female,,,,
7366,29,5,,,4,Hours,0,0,0,0,,,,,,,
7366,30,3,3,Acquaintance,1,Hours,1,0,0,17,Hispanic,,Male,,,,
7353,1,3,3,Acquaintance,18,Hours,1,0,0,30,White,,Male,,,,
7353,2,1,5,Acquaintance,17,Hours,1,0,0,139,White,,Female,,,,
7353,3,1,1,Don't know personally,3,Hours,1,0,0,0,Black or African American,,Male,,,,
7353,4,3,1,Don't know personally,23,Hours,1,1,0,1,White,,Female,,,,
7353,5,3,4,Acquaintance,3,Days,1,0,0,117,Black or African American,,Female,,,,
7353,6,1,1,Don't know personally,1,Days,1,1,0,0,White,,Female,,,,
7353,7,5,4,Acquaintance,3,Days,1,0,0,88,Black or African American,,Female,,,,
7353,8,4,1,Don't know personally,4,Days,1,1,0,0,White,,Male,,,,
7353,9,3,6,Friend,2,Hours,1,0,0,5,White,,Female,,,,
7353,10,4,6,Friend,23,Minutes,1,0,0,6,White,,Male,,,,
7353,11,4,4,Acquaintance,2,Days,1,0,0,138,White,,Female,,,,
7353,12,3,4,Acquaintance,18,Hours,1,0,0,49,Black or African American,,Female,,,,
7353,13,2,2,Don't know personally,14,Hours,1,0,0,69,White,,Female,,,,
7353,14,2,6,Family,2,Days,1,0,0,17,White,,Female,,,,
7353,15,6,4,Acquaintance,16,Hours,1,0,0,82,White,,Female,,,,
7353,16,7,6,Family,4,Days,1,0,0,55,White,,Male,,,,
7353,17,2,3,Acquaintance,31,Minutes,1,0,0,49,White,,Male,,,,
7353,18,6,4,Acquaintance,23,Hours,1,0,0,180,White,,Female,,,,
7353,19,3,3,Acquaintance,4,Days,1,0,0,72,White,,Female,,,,
7353,20,2,4,Acquaintance,3,Days,1,0,0,148,White,,Male,,,,
7353,21,2,3,Acquaintance,3,Days,1,0,0,60,White,,Male,,,,
7353,22,4,4,Acquaintance,3,Days,1,0,0,3,White,,Female,,,,
7353,23,4,6,Friend,3,Days,1,0,0,36,White,,Male,,,,
7353,24,5,5,Acquaintance,16,Hours,1,0,0,3,White,,Female,,,,
7353,25,3,4,Acquaintance,8,Minutes,1,0,0,107,White,,Female,,,,
7353,26,3,5,Acquaintance,20,Hours,1,0,0,100,White,,Female,,,,
7353,27,3,4,Acquaintance,2,Days,1,0,0,116,Hispanic,,Female,,,,
7353,28,3,4,Acquaintance,1,Days,1,0,0,118,White,,Female,,,,
7353,29,4,3,Acquaintance,3,Days,1,0,0,111,White,,Female,,,,
7353,30,4,1,Don't know personally,4,Days,1,1,0,0,Asian,,Female,,,,
6579,1,6,4,Acquaintance,3,Hours,1,0,0,56,Asian,,Male,,,,
6579,2,4,2,Don't know personally,3,Days,1,0,0,8,Asian,,Female,,,,
6579,3,6,5,Acquaintance,1,Days,1,0,0,1,White,,Male,,,,
6579,4,2,4,Acquaintance,2,Days,1,0,0,56,Asian,,Male,,,,
6579,5,5,,,10,Hours,0,0,0,0,,,,,,,
6579,6,6,5,Acquaintance,1,Days,1,0,0,9,Asian,,Male,,,,
6579,7,2,5,Acquaintance,1,Days,1,0,0,0,Asian,,Female,,,,
6579,8,2,,,23,Hours,0,0,0,0,,,,,,,
6579,9,1,6,Friend,2,Days,1,0,0,6,Asian,,Male,,,,
6579,10,6,6,Friend,21,Hours,1,0,0,4,Asian,,Male,,,,
6579,11,5,3,Acquaintance,2,Days,1,0,0,5,White,,Male,,,,
6579,12,6,,,3,Days,0,0,0,0,,,,,,,
6579,13,2,1,Don't know personally,1,Days,1,1,0,0,Asian,,Male,,,,
6579,14,1,5,Acquaintance,1,Days,1,0,0,0,White,,Female,,,,
6579,15,5,,,18,Hours,0,0,0,0,,,,,,,
6579,16,6,2,Don't know personally,17,Hours,1,0,0,5,White,,Male,,,,
6579,17,2,5,Acquaintance,4,Hours,1,0,0,28,Asian,,Male,,,,
6579,18,6,5,Acquaintance,2,Days,1,0,0,9,Asian,,Male,,,,
6579,19,6,,,13,Hours,0,0,0,0,,,,,,,
6579,20,1,1,Don't know personally,1,Days,1,0,0,43,Asian,,Female,,,,
6579,21,6,,,1,Days,0,0,0,0,,,,,,,
6579,22,6,6,Friend,23,Hours,1,0,0,7,Asian,,Male,,,,
6579,23,1,2,Don't know personally,7,Days,1,0,0,69,Asian,,Male,,,,
6579,24,3,2,Don't know personally,1,Days,1,0,0,8,Asian,,Male,,,,
6579,25,4,1,Don't know personally,3,Days,1,0,0,0,White,,Male,,,,
6579,26,2,2,Don't know personally,2,Days,1,0,0,31,Asian,,Male,,,,
6579,27,2,1,Don't know personally,6,Hours,1,1,0,0,Asian,,Female,,,,
6579,28,5,1,Don't know personally,2,Days,1,0,0,0,White,,Female,,,,
6579,29,5,,,5,Minutes,0,0,0,0,,,,,,,
6579,30,1,1,Don't know personally,3,Hours,1,1,0,0,Asian,,Male,,,,
3204,1,6,1,Don't know personally,13,Minutes,1,1,0,0,Hispanic,,Female,,,,
3204,2,6,5,Acquaintance,1,Days,1,0,0,18,Hispanic,,Female,,,,
3204,3,7,7,Friend,2,Days,1,0,0,169,Hispanic,,Female,,,,
3204,4,4,1,Don't know personally,22,Hours,1,1,0,0,Hispanic,,Female,,,,
3204,5,2,1,Don't know personally,1,Days,1,1,0,0,Hispanic,,Male,,,,
3204,6,5,1,Don't know personally,2,Days,1,0,0,1,Hispanic,,Female,,,,
3204,7,4,3,Acquaintance,22,Hours,1,0,0,8,Hispanic,,Male,,,,
3204,8,6,1,Don't know personally,19,Hours,1,1,0,0,Hispanic,,Female,,,,
3204,9,4,,,21,Hours,0,0,0,0,,,,,,,
3204,10,5,1,Don't know personally,2,Hours,1,1,0,1,White,,Female,,,,
3204,11,3,4,Acquaintance,2,Days,1,0,0,66,Hispanic,,Male,,,,
3204,12,5,2,Don't know personally,2,Days,1,0,0,22,Hispanic,,Male,,,,
3204,13,3,5,Acquaintance,2,Days,1,0,0,18,Hispanic,,Female,,,,
3204,14,4,1,Don't know personally,2,Hours,1,1,0,0,Hispanic,,Female,,,,
