participant_id,order,react,comment,post_tenure,tenure_units,human (y/n),race,gender,notes,manual_diag
6639,10,0,1,10,days,1,white,female,,0
5449,1,1,0,,,1,Asian,Male,"Tenure - reacted to a post from July 1st, 2019",0
5449,2,1,0,,,1,Asian,Female,Tenure - reacted to a post from about 4 years ago,0
5449,3,1,0,,,0,Asian,Male,"Celebrity's Page; Tenure - reacted to a post from April 30th, 2018",0
5449,4,1,0,,,1,Asian,Male,"Tenure - reacted to a post from December 20th, 2017",0
5449,5,1,0,,,0,Asian,Male,"Celebrity's Page; Tenure - reacted to a post from December 10th, 2017",0
5449,6,1,0,,,0,Asian,Male,"Celebrity's Page; Tenure - reacted to a post from December 7th, 2017",0
5449,7,1,0,,,1,Asian,Female,"Tenure - reacted to a post from Decemebr 6th, 2017",0
5449,8,1,0,,,0,Asian,Male,"Celebrity's Page; Tenure - reacted to a post from November 28th, 2017",0
5449,9,1,0,,,0,Asian,Male,"Celebrity's Page; Tenure - reacted to a post from November 27th, 2017",0
5449,10,0,1,,,1,Asian,Male,"Tenure - commented on a post from October 23rd, 2017",0
1989,1,0,1,2,Days,1,White,Female,,0
1989,2,1,0,2,Days,1,White,Female,,0
1989,3,0,1,9,Days,1,White,Female,,0
1989,4,1,0,9,Days,1,White,Female,,0
1989,5,0,1,26,Days,1,White,Female,,0
1989,6,1,0,26,Days,1,White,Female,,0
1989,7,0,1,27,Days,1,White,Female,,0
1989,8,0,1,27,Days,1,White,Female,,0
1989,9,1,0,36,Days,1,White,Female,,0
1989,10,1,0,36,Days,1,White,Female,,0
8968,1,1,0,3,Days,1,Asian,Female,,0
8968,2,0,1,4,Days,1,Asian,Female,,0
8968,3,0,1,4,Days,1,Asian,Female,,0
8968,4,1,0,4,Days,1,Asian,Female,,0
8968,5,0,1,5,Days,1,Asian,Female,,0
8968,6,0,1,6,Days,1,Asian,Female,,0
8968,7,1,0,6,Days,1,Asian,Female,,0
8968,8,1,0,6,Days,1,White,Female,,0
8968,9,0,1,7,Days,1,White,Female,,0
8968,10,1,0,7,Days,1,White,Female,,0
4810,1,1,0,6,Days,0,,,,0
4810,2,0,1,8,Days,1,White,Female,,0
4810,3,1,0,6,Days,1,White,Male,,0
4810,4,1,0,8,Days,1,White,Male,,0
4810,5,1,0,11,Days,1,White,Female,,0
4810,6,1,0,14,Days,1,White,Female,,0
4810,7,1,0,16,Days,1,White,Female,,0
4810,8,1,0,18,Days,1,White,Female,,0
4810,9,1,0,19,Days,1,White,Female,,0
4810,10,1,0,22,Days,0,,,,0
2574,1,1,0,3,Days,1,Hispanic,Female,,0
2574,2,1,0,3,Days,1,White,Female,,0
2574,3,0,1,5,Days,0,,,,0
2574,4,0,1,3,Days,1,White,Female,,0
2574,5,0,1,4,Days,1,White,Female,,0
2574,6,0,1,4,Days,1,White,Female,,0
2574,7,0,1,4,Days,1,White,Female,,0
2574,8,1,0,7,Days,0,,,,0
2574,9,0,1,8,Days,1,White,Female,,0
2574,10,1,0,9,Days,1,White,Female,,0
3313,1,0,1,1,Days,1,Asian,Female,,0
3313,2,1,0,3,Days,1,White,Female,,0
3313,3,0,1,4,Days,1,White,Female,,0
